Abkhazia	Sukhumi	Tkvarcheli
Afghanistan	Kabul
Akrotiri and Dhekelia (UK)	Episkopi Cantonment
Åland Islands (Finland)	Mariehamn
Albania	Tirana
Algeria	Algiers
American Samoa (US)	Tafuna
Andorra	Andorra la Vella
Angola	Luanda	Lubango
Anguilla (UK)	North Side
Antigua and Barbuda	St. John's
Argentina	Buenos Aires
Armenia	Yerevan
Artsakh	Stepanakert	Martuni
Aruba (Netherlands)	Oranjestad	Sint Nicolaas	[10]
Australia	Sydney	Melbourne	[11]
Austria	Vienna	Graz	[12]
Azerbaijan	Baku	Sumqayit	[13]
Bahamas	Nassau	Freeport	[14]
Bahrain	Manama	Riffa	[15]
Bangladesh	Dhaka	Chittagong	[16]
Barbados	Bridgetown	Speightstown	[17]
Belarus	Minsk	Gomel	[18]
Belgium	Brussels	Antwerp	[19]
Belize	Belize City	San Ignacio	[20]
Benin	Cotonou	Abomey-Calavi	[21]
Bermuda (UK)	St. George's	Hamilton	[22]
Bhutan	Thimphu	Phuntsholing	[23]
Bolivia	Santa Cruz de la Sierra	El Alto	[24]
Bosnia and Herzegovina	Sarajevo	Banja Luka	[25]
Botswana	Gaborone	Francistown	[26]
Brazil	São Paulo	Rio de Janeiro	[27]
Brunei	Bandar Seri Begawan	Kuala Belait	[28]
Bulgaria	Sofia	Plovdiv	[29]
Burkina Faso	Ouagadougou	Bobo-Dioulasso	[30]
Burundi	Bujumbura	Muyinga	[31]
Cambodia	Phnom Penh	Siem Reap	[32]
Cameroon	Douala	Yaoundé	[33]
Canada	Toronto	Montreal	[34]
Cape Verde	Praia	Mindelo	[35]
Cayman Islands (UK)	George Town	Bodden Town	[36]
Central African Republic	Bangui	Bimbo	[37]
Chad	N'Djamena	Moundou	[38]
Chile	Santiago	Puente Alto	[39]
China	Shanghai	Beijing	[41]
Christmas Island (Australia)	Flying Fish Cove	Poon Saan
Cocos (Keeling) Islands (Australia)	Bantam	West Island
Colombia	Bogotá	Medellín	[42]
Comoros	Moroni	Mutsamudu	[43]
Congo, Democratic Republic of the	Kinshasa	Lubumbashi	[44]
Congo, Republic of the	Brazzaville	Pointe-Noire	[45]
Cook Islands (New Zealand)	Avarua	Amuri	[46]
Costa Rica	San José	Alajuela	[47]
Côte d'Ivoire	Abidjan	Bouaké	[48]
Croatia	Zagreb	Split	[49]
Cuba	Havana	Santiago de Cuba	[50]
Curaçao (Netherlands)	Willemstad	Sint Michiel	[51]
Cyprus	Nicosia	Limassol	[52]
Czech Republic	Prague	Brno	[53]
Denmark	Copenhagen	Aarhus	[55]
Djibouti	Djibouti	Ali Sabieh	[56]
Dominica	Roseau	Portsmouth	[57]
